text,daily_usage_hours,sleep_hours,anxiety_level,concentration_level,emotional_state,addiction_level
I cannot stop scrolling reels and short videos.,1001.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1002.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1003.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1004.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1005.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1006.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1007.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1008.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1009.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1010.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1011.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1012.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1013.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1014.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1015.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1016.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1017.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1018.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1019.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1020.0,5,High,Low,Stressed,High
I use social media occasionally.,1.0,7,Low,High,Calm,Low
I use social media occasionally.,2.0,7,Low,High,Calm,Low
I use social media occasionally.,3.0,7,Low,High,Calm,Low
I spend several hours daily on social media.,4.0,6,Medium,Medium,Neutral,Medium
I spend several hours daily on social media.,5.0,6,Medium,Medium,Neutral,Medium
I spend several hours daily on social media.,6.0,6,Medium,Medium,Neutral,Medium
I cannot stop scrolling reels and short videos.,7.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,8.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,9.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,10.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,11.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,12.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,13.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,14.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,15.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,16.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,17.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,18.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,19.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,20.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,21.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,22.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,23.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,24.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,25.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,26.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,27.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,28.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,29.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,30.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,31.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,32.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,33.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,34.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,35.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,36.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,37.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,38.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,39.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,40.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,41.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,42.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,43.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,44.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,45.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,46.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,47.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,48.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,49.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,50.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,51.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,52.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,53.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,54.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,55.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,56.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,57.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,58.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,59.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,60.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,61.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,62.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,63.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,64.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,65.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,66.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,67.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,68.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,69.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,70.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,71.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,72.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,73.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,74.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,75.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,76.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,77.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,78.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,79.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,80.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,81.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,82.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,83.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,84.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,85.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,86.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,87.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,88.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,89.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,90.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,91.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,92.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,93.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,94.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,95.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,96.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,97.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,98.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,99.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,100.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,101.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,102.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,103.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,104.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,105.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,106.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,107.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,108.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,109.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,110.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,111.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,112.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,113.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,114.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,115.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,116.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,117.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,118.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,119.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,120.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,121.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,122.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,123.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,124.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,125.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,126.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,127.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,128.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,129.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,130.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,131.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,132.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,133.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,134.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,135.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,136.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,137.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,138.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,139.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,140.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,141.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,142.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,143.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,144.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,145.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,146.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,147.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,148.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,149.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,150.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,151.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,152.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,153.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,154.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,155.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,156.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,157.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,158.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,159.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,160.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,161.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,162.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,163.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,164.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,165.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,166.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,167.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,168.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,169.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,170.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,171.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,172.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,173.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,174.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,175.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,176.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,177.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,178.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,179.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,180.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,181.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,182.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,183.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,184.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,185.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,186.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,187.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,188.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,189.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,190.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,191.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,192.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,193.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,194.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,195.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,196.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,197.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,198.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,199.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,200.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,201.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,202.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,203.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,204.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,205.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,206.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,207.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,208.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,209.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,210.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,211.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,212.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,213.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,214.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,215.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,216.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,217.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,218.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,219.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,220.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,221.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,222.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,223.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,224.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,225.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,226.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,227.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,228.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,229.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,230.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,231.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,232.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,233.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,234.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,235.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,236.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,237.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,238.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,239.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,240.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,241.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,242.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,243.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,244.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,245.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,246.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,247.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,248.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,249.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,250.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,251.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,252.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,253.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,254.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,255.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,256.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,257.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,258.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,259.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,260.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,261.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,262.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,263.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,264.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,265.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,266.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,267.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,268.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,269.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,270.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,271.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,272.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,273.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,274.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,275.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,276.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,277.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,278.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,279.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,280.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,281.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,282.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,283.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,284.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,285.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,286.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,287.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,288.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,289.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,290.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,291.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,292.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,293.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,294.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,295.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,296.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,297.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,298.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,299.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,300.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,301.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,302.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,303.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,304.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,305.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,306.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,307.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,308.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,309.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,310.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,311.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,312.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,313.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,314.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,315.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,316.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,317.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,318.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,319.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,320.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,321.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,322.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,323.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,324.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,325.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,326.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,327.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,328.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,329.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,330.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,331.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,332.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,333.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,334.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,335.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,336.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,337.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,338.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,339.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,340.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,341.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,342.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,343.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,344.0,5,High,Low,Stressed,High
