text,daily_usage_hours,sleep_hours,anxiety_level,concentration_level,emotional_state,addiction_level
I cannot stop scrolling reels and short videos.,345.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,346.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,347.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,348.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,349.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,350.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,351.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,352.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,353.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,354.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,355.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,356.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,357.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,358.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,359.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,360.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,361.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,362.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,363.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,364.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,365.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,366.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,367.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,368.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,369.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,370.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,371.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,372.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,373.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,374.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,375.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,376.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,377.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,378.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,379.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,380.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,381.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,382.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,383.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,384.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,385.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,386.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,387.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,388.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,389.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,390.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,391.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,392.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,393.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,394.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,395.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,396.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,397.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,398.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,399.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,400.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,401.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,402.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,403.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,404.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,405.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,406.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,407.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,408.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,409.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,410.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,411.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,412.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,413.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,414.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,415.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,416.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,417.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,418.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,419.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,420.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,421.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,422.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,423.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,424.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,425.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,426.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,427.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,428.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,429.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,430.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,431.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,432.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,433.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,434.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,435.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,436.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,437.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,438.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,439.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,440.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,441.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,442.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,443.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,444.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,445.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,446.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,447.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,448.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,449.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,450.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,451.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,452.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,453.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,454.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,455.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,456.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,457.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,458.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,459.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,460.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,461.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,462.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,463.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,464.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,465.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,466.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,467.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,468.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,469.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,470.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,471.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,472.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,473.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,474.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,475.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,476.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,477.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,478.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,479.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,480.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,481.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,482.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,483.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,484.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,485.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,486.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,487.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,488.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,489.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,490.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,491.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,492.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,493.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,494.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,495.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,496.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,497.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,498.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,499.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,500.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,501.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,502.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,503.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,504.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,505.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,506.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,507.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,508.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,509.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,510.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,511.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,512.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,513.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,514.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,515.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,516.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,517.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,518.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,519.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,520.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,521.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,522.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,523.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,524.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,525.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,526.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,527.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,528.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,529.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,530.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,531.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,532.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,533.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,534.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,535.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,536.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,537.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,538.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,539.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,540.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,541.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,542.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,543.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,544.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,545.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,546.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,547.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,548.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,549.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,550.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,551.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,552.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,553.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,554.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,555.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,556.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,557.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,558.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,559.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,560.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,561.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,562.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,563.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,564.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,565.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,566.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,567.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,568.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,569.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,570.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,571.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,572.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,573.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,574.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,575.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,576.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,577.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,578.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,579.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,580.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,581.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,582.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,583.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,584.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,585.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,586.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,587.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,588.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,589.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,590.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,591.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,592.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,593.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,594.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,595.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,596.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,597.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,598.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,599.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,600.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,601.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,602.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,603.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,604.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,605.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,606.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,607.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,608.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,609.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,610.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,611.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,612.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,613.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,614.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,615.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,616.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,617.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,618.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,619.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,620.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,621.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,622.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,623.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,624.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,625.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,626.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,627.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,628.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,629.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,630.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,631.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,632.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,633.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,634.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,635.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,636.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,637.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,638.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,639.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,640.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,641.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,642.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,643.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,644.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,645.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,646.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,647.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,648.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,649.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,650.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,651.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,652.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,653.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,654.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,655.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,656.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,657.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,658.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,659.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,660.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,661.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,662.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,663.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,664.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,665.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,666.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,667.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,668.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,669.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,670.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,671.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,672.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,673.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,674.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,675.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,676.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,677.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,678.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,679.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,680.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,681.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,682.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,683.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,684.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,685.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,686.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,687.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,688.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,689.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,690.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,691.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,692.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,693.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,694.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,695.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,696.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,697.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,698.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,699.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,700.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,701.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,702.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,703.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,704.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,705.0,5,High,Low,Stressed,High
I keep watching reels late at night.,8.0,5,High,Low,Stressed,High
Instagram distracts me during studies.,6.0,6,Medium,Medium,Anxious,Medium
I feel bored without checking my phone.,7.0,5,High,Low,Restless,High
